,number_bins,A
405,815.0,31.149815609499818
406,817.0,31.071144244642063
407,819.0,30.99365325667071
408,821.0,30.918132696784745
409,823.0,30.837195240138644
410,825.0,30.765678836905334
411,827.0,30.68690045453949
412,829.0,30.6236668550281
413,831.0,30.543767863700403
414,833.0,30.476977046570205
415,835.0,30.39432593924128
416,837.0,30.331115594660098
417,839.0,30.25042624521505
418,841.0,30.180864127189007
419,843.0,30.107934215938386
420,845.0,30.034973542432713
421,847.0,29.966145174386714
422,849.0,29.89502154208557
423,851.0,29.82706991496056
424,853.0,29.755817408827912
425,855.0,29.685276321678252
426,857.0,29.61930582768943
427,859.0,29.547168688725655
428,861.0,29.475926384171377
429,863.0,29.394760945046038
430,865.0,29.34429406015365
431,867.0,29.27674809867661
432,869.0,29.207099562491262
433,871.0,29.143231063165985
434,873.0,29.075652602176596
435,875.0,29.01788289430651
436,877.0,28.943017129841877
437,879.0,28.873659967273188
438,881.0,28.814419835054036
439,883.0,28.750454488018768
440,885.0,28.680941381837815
441,887.0,28.61836227951181
442,889.0,28.558115193861966
443,891.0,28.477801185237603
444,893.0,28.420455366166777
445,895.0,28.35945775685667
446,897.0,28.295253555481153
447,899.0,28.236299643958525
448,901.0,28.17117360272854
449,903.0,28.110565855106856
450,905.0,28.04356693350482
451,907.0,27.98614949376837
452,909.0,27.917202744674107
453,911.0,27.854784469901585
454,913.0,27.788140834245652
455,915.0,27.738469727088834
456,917.0,27.679028340261222
457,919.0,27.614082863352817
458,921.0,27.558814263223507
459,923.0,27.49096306333758
460,925.0,27.44073454116971
461,927.0,27.380696554023203
462,929.0,27.324279818603802
463,931.0,27.265274376077627
464,933.0,27.20158960051325
465,935.0,27.141372433325863
466,937.0,27.088397626854405
467,939.0,27.02404913273007
468,941.0,26.975676518391978
469,943.0,26.916591917520982
470,945.0,26.86144152242729
471,947.0,26.808989640280124
472,949.0,26.777935983617585
473,951.0,26.680272244217747
474,953.0,26.630733686151274
475,955.0,26.576243117519265
476,957.0,26.52292402750299
477,959.0,26.46988822559424
478,961.0,26.41010435254216
479,963.0,26.355373637010345
480,965.0,26.301020352475934
481,967.0,26.243774861107724
482,969.0,26.194177502811247
483,971.0,26.139189190340975
484,973.0,26.086496778445756
485,975.0,26.035976319725318
486,977.0,25.989639536716503
487,979.0,25.92691682860415
488,981.0,25.873843168366434
489,983.0,25.81876702807337
490,985.0,25.768157156947378
491,987.0,25.71764839602028
492,989.0,25.657239461108528
493,991.0,25.61236540391552
494,993.0,25.561468698060086
495,995.0,25.5146592366061
496,997.0,25.457914148675265
497,999.0,25.410600311301604
498,1001.0,25.3533250307607
499,1003.0,25.306053644447886
500,1005.0,25.256075224951893
501,1007.0,25.208726170855652
502,1009.0,25.158969907084735
