,event_0,event_1,event_2,event_3,event_4,event_5,event_6,event_7,event_8,event_9,event_10,event_11,event_12,event_13,event_14,event_15,event_16,event_17,event_18,event_19
891,53.0,53.0,53.0,53.0,54.0,54.0,52.0,51.0,53.0,52.0,51.0,51.0,51.0,53.0,53.0,53.0,50.0,52.0,54.0,54.0
892,53.0,53.0,52.0,52.0,55.0,55.0,52.0,53.0,53.0,52.0,52.0,52.0,52.0,56.0,56.0,56.0,54.0,52.0,54.0,53.0
893,53.0,53.0,54.0,54.0,52.0,52.0,54.0,52.0,52.0,52.0,52.0,52.0,52.0,53.0,53.0,53.0,51.0,52.0,53.0,54.0
894,54.0,54.0,52.0,52.0,50.0,50.0,52.0,52.0,51.0,53.0,52.0,52.0,52.0,53.0,53.0,53.0,53.0,50.0,55.0,53.0
895,53.0,53.0,55.0,55.0,53.0,53.0,52.0,53.0,53.0,54.0,53.0,53.0,53.0,54.0,54.0,54.0,55.0,52.0,50.0,52.0
896,52.0,52.0,53.0,53.0,52.0,52.0,52.0,53.0,53.0,52.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,52.0,54.0,54.0
897,52.0,52.0,52.0,52.0,54.0,54.0,52.0,53.0,51.0,50.0,53.0,53.0,53.0,53.0,53.0,53.0,54.0,51.0,53.0,52.0
898,51.0,51.0,52.0,52.0,54.0,54.0,51.0,53.0,52.0,52.0,50.0,50.0,50.0,52.0,52.0,52.0,52.0,50.0,53.0,54.0
899,53.0,53.0,53.0,53.0,53.0,53.0,55.0,53.0,54.0,52.0,54.0,54.0,54.0,53.0,53.0,53.0,52.0,52.0,52.0,54.0
900,54.0,54.0,55.0,55.0,54.0,54.0,52.0,51.0,52.0,52.0,54.0,54.0,54.0,52.0,52.0,52.0,53.0,53.0,53.0,53.0
901,52.0,52.0,53.0,53.0,53.0,53.0,52.0,52.0,53.0,53.0,52.0,52.0,52.0,53.0,53.0,53.0,53.0,51.0,52.0,54.0
902,54.0,54.0,52.0,52.0,53.0,53.0,55.0,52.0,53.0,53.0,52.0,52.0,52.0,54.0,54.0,54.0,52.0,52.0,55.0,53.0
903,53.0,53.0,53.0,53.0,53.0,53.0,53.0,54.0,51.0,52.0,52.0,52.0,52.0,53.0,53.0,53.0,53.0,54.0,53.0,51.0
904,53.0,53.0,52.0,52.0,54.0,54.0,55.0,55.0,52.0,53.0,52.0,52.0,52.0,54.0,54.0,54.0,55.0,52.0,53.0,53.0
905,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,51.0,52.0,54.0,54.0,54.0,53.0,53.0,53.0,54.0,51.0,52.0,55.0
906,52.0,52.0,52.0,52.0,53.0,53.0,54.0,52.0,54.0,54.0,52.0,52.0,52.0,53.0,53.0,53.0,52.0,53.0,53.0,54.0
907,52.0,52.0,51.0,51.0,52.0,52.0,54.0,52.0,52.0,53.0,53.0,53.0,53.0,56.0,56.0,56.0,55.0,52.0,52.0,52.0
908,52.0,52.0,54.0,54.0,53.0,53.0,53.0,51.0,52.0,55.0,52.0,52.0,52.0,53.0,53.0,53.0,53.0,52.0,52.0,53.0
909,53.0,53.0,53.0,53.0,53.0,53.0,52.0,52.0,55.0,51.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,54.0,55.0,53.0
910,53.0,53.0,52.0,52.0,51.0,51.0,52.0,52.0,53.0,52.0,51.0,51.0,51.0,54.0,54.0,54.0,53.0,54.0,50.0,51.0
911,53.0,53.0,52.0,52.0,54.0,54.0,51.0,52.0,53.0,52.0,52.0,52.0,52.0,53.0,53.0,53.0,52.0,52.0,54.0,52.0
912,55.0,55.0,53.0,53.0,53.0,53.0,54.0,55.0,50.0,52.0,54.0,54.0,54.0,53.0,53.0,53.0,53.0,52.0,54.0,54.0
913,52.0,52.0,52.0,52.0,50.0,50.0,53.0,51.0,53.0,52.0,50.0,50.0,50.0,52.0,52.0,52.0,53.0,53.0,54.0,56.0
914,53.0,53.0,52.0,52.0,53.0,53.0,54.0,53.0,53.0,51.0,55.0,55.0,55.0,53.0,53.0,53.0,52.0,51.0,54.0,55.0
915,52.0,52.0,53.0,53.0,53.0,53.0,53.0,51.0,50.0,53.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,54.0,54.0,54.0
916,52.0,52.0,52.0,52.0,51.0,51.0,54.0,52.0,52.0,54.0,53.0,53.0,53.0,51.0,51.0,51.0,53.0,53.0,53.0,52.0
917,53.0,53.0,53.0,53.0,52.0,52.0,54.0,52.0,52.0,51.0,53.0,53.0,53.0,54.0,54.0,54.0,53.0,52.0,51.0,51.0
918,53.0,53.0,53.0,53.0,51.0,51.0,51.0,51.0,53.0,53.0,52.0,52.0,52.0,50.0,50.0,50.0,55.0,53.0,52.0,52.0
919,52.0,52.0,54.0,54.0,54.0,54.0,53.0,53.0,52.0,54.0,53.0,53.0,53.0,51.0,51.0,51.0,54.0,53.0,54.0,52.0
920,52.0,52.0,53.0,53.0,53.0,53.0,53.0,52.0,52.0,53.0,51.0,51.0,51.0,51.0,51.0,51.0,54.0,53.0,55.0,54.0
921,54.0,54.0,51.0,51.0,55.0,55.0,52.0,54.0,53.0,53.0,53.0,53.0,53.0,51.0,51.0,51.0,53.0,52.0,52.0,54.0
922,54.0,54.0,52.0,52.0,53.0,53.0,52.0,53.0,53.0,52.0,54.0,54.0,54.0,52.0,52.0,52.0,53.0,53.0,52.0,52.0
923,54.0,54.0,54.0,54.0,50.0,50.0,54.0,49.0,50.0,53.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,51.0,52.0,52.0
924,51.0,51.0,52.0,52.0,52.0,52.0,54.0,51.0,53.0,52.0,53.0,53.0,53.0,54.0,54.0,54.0,53.0,50.0,53.0,51.0
925,52.0,52.0,51.0,51.0,53.0,53.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,53.0,53.0,53.0,53.0,51.0,54.0,53.0
926,54.0,54.0,52.0,52.0,54.0,54.0,52.0,50.0,51.0,53.0,53.0,53.0,53.0,55.0,55.0,55.0,52.0,52.0,53.0,52.0
927,54.0,54.0,53.0,53.0,54.0,54.0,53.0,52.0,51.0,52.0,52.0,52.0,52.0,55.0,55.0,55.0,54.0,53.0,53.0,53.0
928,53.0,53.0,52.0,52.0,51.0,51.0,55.0,52.0,53.0,52.0,51.0,51.0,51.0,51.0,51.0,51.0,52.0,51.0,53.0,54.0
929,52.0,52.0,52.0,52.0,53.0,53.0,55.0,51.0,53.0,54.0,54.0,54.0,54.0,52.0,52.0,52.0,53.0,51.0,52.0,53.0
930,53.0,53.0,52.0,52.0,53.0,53.0,54.0,52.0,52.0,53.0,53.0,53.0,53.0,54.0,54.0,54.0,53.0,53.0,54.0,53.0
931,52.0,52.0,53.0,53.0,54.0,54.0,51.0,53.0,53.0,53.0,53.0,53.0,53.0,52.0,52.0,52.0,53.0,51.0,53.0,53.0
932,52.0,52.0,51.0,51.0,54.0,54.0,53.0,52.0,53.0,52.0,53.0,53.0,53.0,54.0,54.0,54.0,53.0,53.0,52.0,53.0
933,52.0,52.0,53.0,53.0,54.0,54.0,52.0,51.0,54.0,53.0,53.0,53.0,53.0,54.0,54.0,54.0,53.0,51.0,53.0,56.0
934,54.0,54.0,52.0,52.0,54.0,54.0,54.0,55.0,54.0,53.0,54.0,54.0,54.0,54.0,54.0,54.0,52.0,51.0,54.0,51.0
935,53.0,53.0,53.0,53.0,53.0,53.0,53.0,52.0,53.0,54.0,53.0,53.0,53.0,53.0,53.0,53.0,52.0,52.0,54.0,53.0
936,54.0,54.0,53.0,53.0,51.0,51.0,52.0,54.0,52.0,52.0,51.0,51.0,51.0,54.0,54.0,54.0,51.0,52.0,53.0,55.0
937,54.0,54.0,52.0,52.0,53.0,53.0,52.0,54.0,51.0,52.0,51.0,51.0,51.0,54.0,54.0,54.0,53.0,52.0,52.0,49.0
938,53.0,53.0,53.0,53.0,53.0,53.0,53.0,50.0,53.0,52.0,54.0,54.0,54.0,53.0,53.0,53.0,52.0,52.0,52.0,55.0
939,51.0,51.0,53.0,53.0,51.0,51.0,53.0,53.0,53.0,52.0,54.0,54.0,54.0,55.0,55.0,55.0,53.0,53.0,52.0,54.0
940,51.0,51.0,54.0,54.0,51.0,51.0,52.0,53.0,51.0,53.0,50.0,50.0,50.0,54.0,54.0,54.0,53.0,51.0,52.0,53.0
941,52.0,52.0,52.0,52.0,52.0,52.0,53.0,53.0,52.0,54.0,53.0,53.0,53.0,55.0,55.0,55.0,53.0,51.0,54.0,52.0
942,50.0,50.0,53.0,53.0,52.0,52.0,50.0,52.0,52.0,53.0,55.0,55.0,55.0,52.0,52.0,52.0,53.0,53.0,54.0,54.0
