,peak_X0,peak_Y0
event_876,103.0,-70.8
event_877,103.0,-52.00000000000001
event_878,104.0,-70.8
event_879,104.0,-70.8
event_880,103.0,-57.60000000000001
event_881,103.0,-70.8
event_882,103.0,-45.2
event_883,103.0,-68.8
event_884,103.0,-70.8
event_885,104.0,-70.8
event_886,104.0,-70.8
event_887,103.0,-70.8
event_888,103.0,-56.800000000000004
event_889,104.0,-70.8
event_890,104.0,-70.8
event_891,104.0,-70.8
event_892,104.0,-70.8
event_893,104.0,-70.8
event_894,104.0,-56.800000000000004
event_895,104.0,-53.2
event_896,104.0,-70.8
event_897,104.0,-63.2
event_898,103.0,-64.8
event_899,103.0,-47.199999999999996
event_900,104.0,-70.8
event_901,104.0,-70.8
event_902,104.0,-70.8
event_903,104.0,-50.800000000000004
event_904,104.0,-70.8
event_905,104.0,-70.8
event_906,104.0,-70.8
event_907,104.0,-52.8
event_908,104.0,-70.8
event_909,104.0,-70.8
event_910,104.0,-70.8
event_911,104.0,-70.8
event_912,103.0,-56.0
event_913,103.0,-54.0
event_914,103.0,-70.8
event_915,103.0,-68.0
event_916,104.0,-70.8
event_917,104.0,-70.8
event_918,104.0,-70.8
event_919,104.0,-70.8
event_920,104.0,-70.8
event_921,104.0,-70.8
event_922,103.0,-70.8
event_923,104.0,-70.8
event_924,103.0,-47.6
event_925,104.0,-48.800000000000004
event_926,104.0,-70.8
event_927,104.0,-70.8
event_928,104.0,-70.8
event_929,103.0,-70.8
event_930,103.0,-46.400000000000006
event_931,104.0,-70.8
event_932,103.0,-70.8
event_933,104.0,-70.8
event_934,104.0,-54.800000000000004
event_935,104.0,-63.2
event_936,103.0,-54.800000000000004
event_937,104.0,-70.8
event_938,104.0,-70.8
event_939,104.0,-70.8
event_940,104.0,-70.8
event_941,103.0,-70.8
event_942,103.0,-55.6
event_943,103.0,-53.2
event_944,104.0,-70.8
event_945,103.0,-66.0
event_946,104.0,-70.8
event_947,104.0,-70.8
event_948,104.0,-70.8
event_949,103.0,-60.00000000000001
event_950,103.0,-70.8
event_951,103.0,-65.60000000000001
event_952,103.0,-70.8
event_953,103.0,-63.2
event_954,103.0,-70.8
event_955,103.0,-44.4
event_956,104.0,-70.8
event_957,103.0,-55.2
event_958,103.0,-70.8
event_959,104.0,-70.8
event_960,103.0,-54.800000000000004
event_961,104.0,-70.8
event_962,104.0,-70.8
event_963,105.0,-70.8
event_964,104.0,-70.8
event_965,105.0,-70.8
event_966,103.0,-70.8
event_967,103.0,-56.800000000000004
event_968,103.0,-60.00000000000001
event_969,105.0,-70.8
event_970,104.0,-64.8
event_971,104.0,-58.800000000000004
event_972,104.0,-70.8
event_973,104.0,-70.8
event_974,104.0,-62.400000000000006
event_975,104.0,-70.8
event_976,104.0,-70.8
event_977,104.0,-70.8
event_978,104.0,-70.8
event_979,104.0,-70.8
event_980,103.0,-70.8
event_981,104.0,-62.400000000000006
event_982,103.0,-48.400000000000006
event_983,103.0,-70.8
event_984,104.0,-70.8
event_985,104.0,-64.4
event_986,104.0,-70.8
event_987,104.0,-70.8
event_988,104.0,-70.8
event_989,104.0,-70.8
event_990,104.0,-70.8
event_991,104.0,-70.8
event_992,104.0,-70.8
event_993,104.0,-61.2
event_994,103.0,-70.8
event_995,104.0,-60.400000000000006
event_996,104.0,-70.8
event_997,103.0,-70.8
event_998,103.0,-70.8
event_999,104.0,-70.8
event_1000,104.0,-70.8
event_1001,103.0,-69.2
event_1002,105.0,-70.8
event_1003,105.0,-70.8
event_1004,104.0,-70.8
event_1005,103.0,-49.2
event_1006,103.0,-60.00000000000001
event_1007,103.0,-45.2
event_1008,103.0,-43.2
event_1009,103.0,-70.8
event_1010,104.0,-70.8
event_1011,104.0,-70.8
event_1012,104.0,-70.8
event_1013,104.0,-70.8
event_1014,103.0,-50.800000000000004
event_1015,104.0,-70.8
event_1016,104.0,-70.8
event_1017,104.0,-61.2
event_1018,104.0,-70.8
event_1019,104.0,-70.8
event_1020,103.0,-70.8
event_1021,104.0,-70.8
event_1022,104.0,-70.8
event_1023,104.0,-70.8
event_1024,104.0,-60.8
event_1025,103.0,-70.8
event_1026,103.0,-63.2
