,peak_X0,peak_X1,peak_Y0,peak_Y1
event_534,105.0,1199.0,65.99999999999999,13.199999999999998
event_535,105.0,320.0,56.39999999999999,65.99999999999999
event_536,105.0,285.0,55.19999999999999,36.0
event_537,105.0,1473.0,121.2,97.2
event_538,104.0,300.0,41.99999999999999,10.8
event_539,104.0,692.0,94.8,56.39999999999999
event_540,105.0,446.0,81.6,31.2
event_541,104.0,390.0,53.99999999999999,10.8
event_542,105.0,497.0,174.0,16.8
event_543,104.0,369.0,70.79999999999998,26.399999999999995
event_544,105.0,1120.0,124.8,58.8
event_545,104.0,660.0,81.6,73.19999999999999
event_546,104.0,587.0,50.39999999999999,16.8
event_547,104.0,747.0,41.99999999999999,20.4
event_548,105.0,961.0,76.8,38.4
event_549,104.0,362.0,30.0,19.2
event_550,105.0,428.0,72.0,25.2
event_551,104.0,1627.0,63.59999999999999,65.99999999999999
event_552,104.0,489.0,27.599999999999994,78.0
event_553,104.0,336.0,40.8,33.6
event_554,105.0,474.0,96.0,19.2
event_555,104.0,847.0,27.599999999999994,73.19999999999999
event_556,105.0,552.0,41.99999999999999,22.8
event_557,105.0,349.0,58.8,65.99999999999999
event_558,105.0,309.0,114.0,34.8
event_559,105.0,1396.0,76.8,18.0
event_560,105.0,685.0,90.0,25.2
event_561,105.0,1027.0,88.79999999999998,14.4
event_562,105.0,279.0,81.6,82.8
event_563,104.0,1029.0,93.6,31.2
event_564,105.0,904.0,127.19999999999996,34.8
event_565,105.0,346.0,53.99999999999999,10.8
event_566,104.0,477.0,36.0,20.4
event_567,104.0,926.0,72.0,32.4
event_568,105.0,606.0,92.4,33.6
event_569,104.0,443.0,33.6,14.4
event_570,105.0,414.0,61.2,11.999999999999998
event_571,104.0,343.0,78.0,15.6
event_572,104.0,576.0,90.0,53.99999999999999
event_573,105.0,1094.0,53.99999999999999,10.8
event_574,105.0,256.0,112.79999999999998,50.39999999999999
event_575,105.0,711.0,82.8,9.6
event_576,105.0,1991.0,105.59999999999998,14.4
event_577,105.0,259.0,85.2,15.6
event_578,104.0,313.0,51.6,36.0
event_579,105.0,2001.0,109.2,52.79999999999999
event_580,104.0,884.0,65.99999999999999,11.999999999999998
event_581,105.0,1811.0,87.6,13.199999999999998
event_582,105.0,341.0,88.79999999999998,51.6
event_583,105.0,1573.0,65.99999999999999,11.999999999999998
event_584,105.0,1931.0,157.2,19.2
event_585,105.0,281.0,96.0,16.8
event_586,105.0,1608.0,51.6,28.8
event_587,104.0,370.0,38.4,21.6
event_588,105.0,847.0,73.19999999999999,39.6
event_589,105.0,288.0,51.6,34.8
event_590,105.0,967.0,88.79999999999998,10.8
event_591,105.0,365.0,99.6,22.8
event_592,104.0,277.0,38.4,26.399999999999995
event_593,105.0,1135.0,65.99999999999999,26.399999999999995
event_594,105.0,381.0,91.2,47.99999999999999
event_595,105.0,1045.0,93.6,26.399999999999995
event_596,103.0,352.0,39.6,11.999999999999998
event_597,105.0,401.0,69.6,26.399999999999995
event_598,105.0,655.0,76.8,25.2
event_599,105.0,613.0,73.19999999999999,43.2
event_600,105.0,2195.0,122.4,19.2
event_601,104.0,297.0,34.8,22.8
event_602,104.0,1036.0,36.0,18.0
event_603,105.0,781.0,57.6,26.399999999999995
event_604,104.0,1784.0,49.2,15.6
event_605,105.0,871.0,70.79999999999998,20.4
event_606,105.0,1062.0,129.6,18.0
event_607,105.0,280.0,62.4,90.0
event_608,105.0,512.0,51.6,39.6
event_609,105.0,553.0,144.0,11.999999999999998
event_610,105.0,349.0,94.8,18.0
event_611,103.0,1376.0,40.8,40.8
event_612,105.0,1140.0,83.99999999999999,44.39999999999999
